SeqNo,Date,UTC Time,Time,IOvector
156,1/17/2019,44:05.7, 000:01:27.757,262826
157,1/17/2019,44:05.8, 000:01:27.859,262824
158,1/17/2019,44:06.0, 000:01:28.090,524969
159,1/17/2019,44:06.1, 000:01:28.217,524968
160,1/17/2019,44:06.4, 000:01:28.468,4194986
161,1/17/2019,44:07.1, 000:01:29.208,4198058
162,1/17/2019,44:08.1, 000:01:30.201,4196010
163,1/17/2019,44:08.2, 000:01:30.249,4194986
164,1/17/2019,44:08.4, 000:01:30.510,4211370
165,1/17/2019,44:09.5, 000:01:31.559,4194986
166,1/17/2019,44:09.9, 000:01:31.995,74410
167,1/17/2019,44:10.0, 000:01:32.081,74282
168,1/17/2019,44:10.1, 000:01:32.228,66090
169,1/17/2019,44:10.3, 000:01:32.340,618
170,1/17/2019,44:10.3, 000:01:32.396,554
171,1/17/2019,44:10.6, 000:01:32.635,682
172,1/17/2019,44:11.6, 000:01:33.637,1049258
173,1/17/2019,44:11.6, 000:01:33.702,1049250
174,1/17/2019,44:11.9, 000:01:33.970,2097830
175,1/17/2019,44:12.0, 000:01:34.084,2097826
176,1/17/2019,44:12.3, 000:01:34.367,4194986
177,1/17/2019,44:15.0, 000:01:37.121,4196010
178,1/17/2019,44:16.1, 000:01:38.187,4194986
179,1/17/2019,44:16.3, 000:01:38.427,148138
180,1/17/2019,44:16.4, 000:01:38.466,147626
181,1/17/2019,44:16.6, 000:01:38.645,131242
182,1/17/2019,44:16.7, 000:01:38.746,426
183,1/17/2019,44:16.7, 000:01:38.805,170
184,1/17/2019,44:17.0, 000:01:39.047,682
185,1/17/2019,44:18.0, 000:01:40.050,262826
186,1/17/2019,44:18.1, 000:01:40.147,262824
187,1/17/2019,44:18.3, 000:01:40.387,524969
188,1/17/2019,44:18.4, 000:01:40.516,524968
189,1/17/2019,44:18.7, 000:01:40.770,4194986
190,1/17/2019,44:19.4, 000:01:41.478,4197034
191,1/17/2019,44:19.4, 000:01:41.501,4198058
192,1/17/2019,44:20.4, 000:01:42.476,4196010
193,1/17/2019,44:20.4, 000:01:42.521,4194986
194,1/17/2019,44:20.7, 000:01:42.809,4211370
195,1/17/2019,44:21.7, 000:01:43.829,4194986
196,1/17/2019,44:22.2, 000:01:44.298,74410
197,1/17/2019,44:22.3, 000:01:44.386,74282
198,1/17/2019,44:22.5, 000:01:44.538,66090
199,1/17/2019,44:22.6, 000:01:44.643,618
200,1/17/2019,44:22.6, 000:01:44.700,554
201,1/17/2019,44:22.9, 000:01:44.937,682
202,1/17/2019,44:23.9, 000:01:45.940,1049258
203,1/17/2019,44:23.9, 000:01:46.001,1049250
204,1/17/2019,44:24.2, 000:01:46.271,2097830
205,1/17/2019,44:24.3, 000:01:46.386,2097826
206,1/17/2019,44:24.6, 000:01:46.665,4194986
207,1/17/2019,44:28.7, 000:01:50.775,4211370
208,1/17/2019,44:29.6, 000:01:51.708,4194986
209,1/17/2019,44:30.2, 000:01:52.253,4203178
210,1/17/2019,44:31.1, 000:01:53.184,4194986
211,1/17/2019,44:31.6, 000:01:53.709,37546
212,1/17/2019,44:31.7, 000:01:53.796,37514
213,1/17/2019,44:31.8, 000:01:53.930,33418
214,1/17/2019,44:32.0, 000:01:54.082,666
215,1/17/2019,44:32.1, 000:01:54.146,650
216,1/17/2019,44:32.3, 000:01:54.393,682
217,1/17/2019,44:33.3, 000:01:55.395,262826
218,1/17/2019,44:33.4, 000:01:55.493,262824
219,1/17/2019,44:33.6, 000:01:55.727,524969
220,1/17/2019,44:33.8, 000:01:55.852,524968
221,1/17/2019,44:34.0, 000:01:56.110,4194986
222,1/17/2019,44:34.8, 000:01:56.848,4196010
223,1/17/2019,44:34.8, 000:01:56.871,4198058
224,1/17/2019,44:35.8, 000:01:57.882,4196010
225,1/17/2019,44:36.1, 000:01:58.143,4211370
226,1/17/2019,44:37.1, 000:01:59.188,4194986
227,1/17/2019,44:37.5, 000:01:59.626,74410
228,1/17/2019,44:37.6, 000:01:59.711,74282
229,1/17/2019,44:37.8, 000:01:59.853,66090
230,1/17/2019,44:37.9, 000:01:59.969,618
231,1/17/2019,44:37.9, 000:02:00.027,554
232,1/17/2019,44:38.2, 000:02:00.264,682
233,1/17/2019,44:39.2, 000:02:01.266,1049258
234,1/17/2019,44:39.2, 000:02:01.330,1049250
235,1/17/2019,44:39.5, 000:02:01.598,2097830
236,1/17/2019,44:39.6, 000:02:01.713,2097826
237,1/17/2019,44:39.9, 000:02:01.993,4194986
238,1/17/2019,44:42.7, 000:02:04.737,4196010
239,1/17/2019,44:43.7, 000:02:05.813,4194986
240,1/17/2019,44:44.0, 000:02:06.044,148138
241,1/17/2019,44:44.0, 000:02:06.088,147626
242,1/17/2019,44:44.2, 000:02:06.259,131242
243,1/17/2019,44:44.3, 000:02:06.364,426
244,1/17/2019,44:44.3, 000:02:06.424,170
245,1/17/2019,44:44.6, 000:02:06.667,682
246,1/17/2019,44:45.6, 000:02:07.669,262826
247,1/17/2019,44:45.7, 000:02:07.766,262824
248,1/17/2019,44:45.9, 000:02:08.002,524969
249,1/17/2019,44:46.0, 000:02:08.129,524968
250,1/17/2019,44:46.3, 000:02:08.386,4194986
251,1/17/2019,44:47.0, 000:02:09.118,4196010
252,1/17/2019,44:47.1, 000:02:09.160,4198058
253,1/17/2019,44:48.0, 000:02:10.131,4196010
254,1/17/2019,44:48.1, 000:02:10.164,4194986
255,1/17/2019,44:48.3, 000:02:10.415,4211370
256,1/17/2019,44:49.4, 000:02:11.465,4194986
257,1/17/2019,44:49.8, 000:02:11.903,74410
258,1/17/2019,44:49.9, 000:02:11.983,74282
259,1/17/2019,44:50.0, 000:02:12.122,66090
260,1/17/2019,44:50.2, 000:02:12.244,618
261,1/17/2019,44:50.2, 000:02:12.302,554
262,1/17/2019,44:50.5, 000:02:12.537,682
263,1/17/2019,44:51.5, 000:02:13.539,1049258
264,1/17/2019,44:51.5, 000:02:13.602,1049250
265,1/17/2019,44:51.8, 000:02:13.868,2097830
266,1/17/2019,44:51.9, 000:02:13.981,2097826
267,1/17/2019,44:52.2, 000:02:14.260,4194986
268,1/17/2019,44:56.3, 000:02:18.368,4211370
269,1/17/2019,44:57.2, 000:02:19.301,4194986
270,1/17/2019,44:57.8, 000:02:19.850,4203178
271,1/17/2019,44:58.7, 000:02:20.778,4194986
272,1/17/2019,44:59.2, 000:02:21.307,37546
273,1/17/2019,44:59.3, 000:02:21.386,37514
274,1/17/2019,44:59.4, 000:02:21.509,33418
275,1/17/2019,44:59.6, 000:02:21.679,666
276,1/17/2019,44:59.7, 000:02:21.743,650
277,1/17/2019,44:59.9, 000:02:21.991,682
278,1/17/2019,45:00.9, 000:02:22.993,262826
279,1/17/2019,45:01.0, 000:02:23.092,262824
280,1/17/2019,45:01.2, 000:02:23.324,524969
281,1/17/2019,45:01.4, 000:02:23.449,524968
282,1/17/2019,45:01.6, 000:02:23.704,4194986
283,1/17/2019,45:02.4, 000:02:24.471,4197034
284,1/17/2019,45:02.5, 000:02:24.543,4198058
285,1/17/2019,45:02.5, 000:02:24.571,4197034
286,1/17/2019,45:02.6, 000:02:24.680,4198058
287,1/17/2019,45:03.2, 000:02:25.304,4197034
288,1/17/2019,45:03.3, 000:02:25.429,4194986
289,1/17/2019,45:03.7, 000:02:25.773,4211370
290,1/17/2019,45:04.7, 000:02:26.788,4194986
291,1/17/2019,45:05.2, 000:02:27.281,74410
292,1/17/2019,45:05.3, 000:02:27.362,74282
293,1/17/2019,45:05.5, 000:02:27.541,66090
294,1/17/2019,45:05.5, 000:02:27.623,618
295,1/17/2019,45:05.6, 000:02:27.679,554
296,1/17/2019,45:05.8, 000:02:27.915,682
297,1/17/2019,45:06.8, 000:02:28.917,1049258
298,1/17/2019,45:06.9, 000:02:28.978,1049250
299,1/17/2019,45:07.2, 000:02:29.246,2097830
300,1/17/2019,45:07.3, 000:02:29.357,2097826
301,1/17/2019,45:07.6, 000:02:29.638,4194986
302,1/17/2019,45:11.7, 000:02:33.749,4211370
303,1/17/2019,45:12.6, 000:02:34.680,4194986
304,1/17/2019,45:13.1, 000:02:35.229,4203178
305,1/17/2019,45:14.1, 000:02:36.156,4194986
306,1/17/2019,45:14.6, 000:02:36.687,37546
307,1/17/2019,45:14.7, 000:02:36.764,37514
308,1/17/2019,45:14.8, 000:02:36.901,33418
309,1/17/2019,45:15.0, 000:02:37.057,666
310,1/17/2019,45:15.0, 000:02:37.122,650
311,1/17/2019,45:15.3, 000:02:37.370,682
312,1/17/2019,45:16.3, 000:02:38.372,262826
313,1/17/2019,45:16.4, 000:02:38.473,262824
314,1/17/2019,45:16.6, 000:02:38.704,524969
315,1/17/2019,45:16.7, 000:02:38.833,524968
