SeqNo,Date,UTC Time,Time,IOvector
173,1/17/2019,09:45.9, 000:02:50.853,4194986
174,1/17/2019,09:46.2, 000:02:51.156,4211370
175,1/17/2019,09:47.2, 000:02:52.171,4194986
176,1/17/2019,09:47.7, 000:02:52.657,74410
177,1/17/2019,09:47.8, 000:02:52.729,74282
178,1/17/2019,09:48.0, 000:02:52.928,66090
179,1/17/2019,09:48.1, 000:02:52.998,618
180,1/17/2019,09:48.1, 000:02:53.053,554
181,1/17/2019,09:48.3, 000:02:53.290,682
182,1/17/2019,09:49.3, 000:02:54.293,1049258
183,1/17/2019,09:49.4, 000:02:54.359,1049250
184,1/17/2019,09:49.7, 000:02:54.626,2097830
185,1/17/2019,09:49.8, 000:02:54.746,2097826
186,1/17/2019,09:50.1, 000:02:55.028,4194986
187,1/17/2019,09:52.8, 000:02:57.754,4196010
188,1/17/2019,09:53.9, 000:02:58.830,4194986
189,1/17/2019,09:54.1, 000:02:59.064,148138
190,1/17/2019,09:54.2, 000:02:59.101,147626
191,1/17/2019,09:54.3, 000:02:59.282,131242
192,1/17/2019,09:54.4, 000:02:59.382,426
193,1/17/2019,09:54.5, 000:02:59.441,170
194,1/17/2019,09:54.7, 000:02:59.683,682
195,1/17/2019,09:55.7, 000:03:00.686,262826
196,1/17/2019,09:55.8, 000:03:00.790,262824
197,1/17/2019,09:56.1, 000:03:01.026,524969
198,1/17/2019,09:56.2, 000:03:01.154,524968
199,1/17/2019,09:56.5, 000:03:01.407,4194986
200,1/17/2019,09:57.2, 000:03:02.116,4197034
201,1/17/2019,09:58.2, 000:03:03.113,4196010
202,1/17/2019,09:58.2, 000:03:03.176,4194986
203,1/17/2019,09:58.5, 000:03:03.440,4211370
204,1/17/2019,09:59.5, 000:03:04.488,4194986
205,1/17/2019,10:00.0, 000:03:04.920,74410
206,1/17/2019,10:00.1, 000:03:04.995,74282
207,1/17/2019,10:00.1, 000:03:05.087,66090
208,1/17/2019,10:00.3, 000:03:05.261,618
209,1/17/2019,10:00.4, 000:03:05.317,554
210,1/17/2019,10:00.6, 000:03:05.554,682
211,1/17/2019,10:01.6, 000:03:06.556,1049258
212,1/17/2019,10:01.7, 000:03:06.617,1049250
213,1/17/2019,10:01.9, 000:03:06.883,2097830
214,1/17/2019,10:02.1, 000:03:06.995,2097826
215,1/17/2019,10:02.3, 000:03:07.277,4194986
216,1/17/2019,10:06.4, 000:03:11.386,4211370
217,1/17/2019,10:07.4, 000:03:12.314,4194986
218,1/17/2019,10:07.9, 000:03:12.864,4203178
219,1/17/2019,10:08.8, 000:03:13.791,4194986
220,1/17/2019,10:09.4, 000:03:14.319,37546
221,1/17/2019,10:09.4, 000:03:14.392,37514
222,1/17/2019,10:09.6, 000:03:14.520,33418
223,1/17/2019,10:09.7, 000:03:14.689,666
224,1/17/2019,10:09.8, 000:03:14.755,650
225,1/17/2019,10:10.1, 000:03:15.001,682
226,1/17/2019,10:11.1, 000:03:16.004,262826
227,1/17/2019,10:11.2, 000:03:16.105,262824
228,1/17/2019,10:11.4, 000:03:16.356,524969
229,1/17/2019,10:11.5, 000:03:16.486,524968
230,1/17/2019,10:11.8, 000:03:16.738,4194986
231,1/17/2019,10:12.5, 000:03:17.457,4196010
232,1/17/2019,10:12.6, 000:03:17.539,4198058
233,1/17/2019,10:13.4, 000:03:18.314,4197034
234,1/17/2019,10:13.4, 000:03:18.335,4194986
235,1/17/2019,10:13.5, 000:03:18.401,4196010
236,1/17/2019,10:13.5, 000:03:18.466,4194986
237,1/17/2019,10:13.8, 000:03:18.756,4211370
238,1/17/2019,10:14.8, 000:03:19.774,4194986
239,1/17/2019,10:15.3, 000:03:20.249,74410
240,1/17/2019,10:15.4, 000:03:20.320,74282
241,1/17/2019,10:15.6, 000:03:20.517,66090
242,1/17/2019,10:15.7, 000:03:20.591,618
243,1/17/2019,10:15.7, 000:03:20.645,554
244,1/17/2019,10:15.9, 000:03:20.882,682
245,1/17/2019,10:16.9, 000:03:21.885,1049258
246,1/17/2019,10:17.0, 000:03:21.950,1049250
247,1/17/2019,10:17.3, 000:03:22.212,2097830
248,1/17/2019,10:17.4, 000:03:22.323,2097826
249,1/17/2019,10:17.7, 000:03:22.603,4194986
250,1/17/2019,10:20.4, 000:03:25.350,4196010
251,1/17/2019,10:21.5, 000:03:26.421,4194986
